name,atlasName,atlasId,cohortId
PrevalentUsersOfThiazideThiazideLikeDiuretics(Monotherapy)WithCovid19HistoryOfHypertension," Prevalent users of thiazide/thiazide-like diuretics (monotherapy) with COVID-19, history of hypertension",15670,15670
PrevalentUsersOfAceInhibitorsOrArbs(Monotherapy)WithCovid19HistoryOfHypertension," Prevalent users of ACE inhibitors or ARBs (monotherapy) with COVID-19, history of hypertension",15671,15671
PrevalentUsersOfAceInhibitors(IncludingNonMonotherapy)WithCovid19HistoryOfHypertension," Prevalent users of ACE inhibitors (including non-monotherapy) with COVID-19, history of hypertension",15672,15672
PrevalentUsersOfArbs(IncludingNonMonotherapy)WithCovid19HistoryOfHypertension," Prevalent users of ARBs (including non-monotherapy) with COVID-19, history of hypertension",15673,15673
PrevalentUsersOfDccbs(IncludingNonMonotherapy)WithCovid19HistoryOfHypertension," Prevalent users of dCCBs (including non-monotherapy) with COVID-19, history of hypertension",15674,15674
PrevalentUsersOfThiazideThiazideLikeDuretics(IncludingNonMonotherapy)WithCovid19HistoryOfHypertension," Prevalent users of thiazide/thiazide-like duretics (including non-monotherapy) with COVID-19, history of hypertension",15675,15675
PrevalentUsersOfAceInhibitorsOrArbs(IncludingNonMonotherapy)WithCovid19HistoryOfHypertension," Prevalent users of ACE inhibitors or ARBs (including non-monotherapy) with COVID-19, history of hypertension",15676,15676
PrevalentUsersOfArbs(Monotherapy)WithCovid19HistoryOfHypertension," Prevalent users of ARBs (monotherapy) with COVID-19, history of hypertension",15677,15677
PrevalentUsersOfAceInhibitors(IncludingNonMonotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of ACE inhibitors (including non-monotherapy), hospitalized with COVID-19, history of hypertension",15678,15678
PrevalentUsersOfArbs(IncludingNonMonotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of ARBs (including non-monotherapy), hospitalized with COVID-19, history of hypertension",15679,15679
PrevalentUsersOfThiazideThiazideLikeDuretics(IncludingNonMonotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of thiazide/thiazide-like duretics (including non-monotherapy), hospitalized with COVID-19, history of hypertension",15680,15680
PrevalentUsersOfDccbs(IncludingNonMonotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of dCCBs (including non-monotherapy), hospitalized with COVID-19, history of hypertension",15681,15681
PrevalentUsersOfAceInhibitorsOrArbs(IncludingNonMonotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of ACE inhibitors or ARBs (including non-monotherapy), hospitalized with COVID-19, history of hypertension",15682,15682
PrevalentUsersOfAceInhibitors(Monotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of ACE inhibitors (monotherapy), hospitalized with COVID-19, history of hypertension",15683,15683
PrevalentUsersOfArbs(Monotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of ARBs (monotherapy), hospitalized with COVID-19, history of hypertension",15684,15684
PrevalentUsersOfDccbs(Monotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of dCCBs (monotherapy), hospitalized with COVID-19, history of hypertension",15685,15685
PrevalentUsersOfThiazideThiazideLikeDuretics(Monotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of thiazide/thiazide-like duretics (monotherapy), hospitalized with COVID-19, history of hypertension",15686,15686
PrevalentUsersOfAceInhibitorsOrArbs(Monotherapy)HospitalizedWithCovid19HistoryOfHypertension," Prevalent users of ACE inhibitors or ARBs (monotherapy), hospitalized with COVID-19, history of hypertension",15687,15687
PrevalentUsersOfAceInhibitors(Monotherapy)WithCovid19HistoryOfHypertension," Prevalent users of ACE inhibitors (monotherapy) with COVID-19, history of hypertension",15688,15688
UsersOfHydroxychloroquine+Azithromycin, Users of Hydroxychloroquine + Azithromycin,15690,15690
UsersOfHydroxychloroquine+Amoxicillin, Users of Hydroxychloroquine + Amoxicillin,15691,15691
NewUsersOfHydroxychloroquineWithPriorRheumatoidArthritis, New users of Hydroxychloroquine with prior rheumatoid arthritis,15693,15693
NewUsersOfSulfasazineWithPriorRheumatoidArthritis, New users of sulfasazine with prior rheumatoid arthritis,15694,15694
